                               Labor Force Data by County, 2009 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0218000000000   02     180   Nome Census Area, AK                              2009         3,959        3,498        461     11.6
CN0218500000000   02     185   North Slope Borough, AK                           2009         5,293        5,043        250      4.7
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2009         2,981        2,627        354     11.9
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   2009         2,379        2,017        362     15.2
CN0222000000000   02     220   Sitka Borough/city, AK                            2009         4,635        4,347        288      6.2
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             2009         1,790        1,528        262     14.6
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2009         3,604        3,257        347      9.6
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2009         5,327        4,876        451      8.5
CN0227000000000   02     270   Wade Hampton Census Area, AK                      2009         2,689        2,131        558     20.8
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               2009         2,864        2,566        298     10.4
CN0228200000000   02     282   Yakutat Borough/city, AK                          2009           313          277         36     11.5
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2009         2,869        2,466        403     14.0
CN0400100000000   04     001   Apache County, AZ                                 2009        22,915       19,337      3,578     15.6
CN0400300000000   04     003   Cochise County, AZ                                2009        63,045       58,075      4,970      7.9
CN0400500000000   04     005   Coconino County, AZ                               2009        74,793       68,490      6,303      8.4
CN0400700000000   04     007   Gila County, AZ                                   2009        23,263       20,647      2,616     11.2
CN0400900000000   04     009   Graham County, AZ                                 2009        15,233       12,964      2,269     14.9
CN0401100000000   04     011   Greenlee County, AZ                               2009         4,391        3,568        823     18.7
CN0401200000000   04     012   La Paz County, AZ                                 2009         7,700        6,947        753      9.8
CN0401300000000   04     013   Maricopa County, AZ                               2009     1,966,142    1,788,963    177,179      9.0
CN0401500000000   04     015   Mohave County, AZ                                 2009        91,511       81,192     10,319     11.3
CN0401700000000   04     017   Navajo County, AZ                                 2009        41,159       34,924      6,235     15.1
CN0401900000000   04     019   Pima County, AZ                                   2009       485,742      442,232     43,510      9.0
CN0402100000000   04     021   Pinal County, AZ                                  2009       126,700      111,290     15,410     12.2
CN0402300000000   04     023   Santa Cruz County, AZ                             2009        18,572       15,669      2,903     15.6
CN0402500000000   04     025   Yavapai County, AZ                                2009        98,272       88,112     10,160     10.3
CN0402700000000   04     027   Yuma County, AZ                                   2009        87,626       67,678     19,948     22.8
CN0500100000000   05     001   Arkansas County, AR                               2009        12,197       10,362      1,835     15.0
CN0500300000000   05     003   Ashley County, AR                                 2009         9,284        8,347        937     10.1
CN0500500000000   05     005   Baxter County, AR                                 2009        17,228       15,692      1,536      8.9
CN0500700000000   05     007   Benton County, AR                                 2009       107,212      100,623      6,589      6.1
CN0500900000000   05     009   Boone County, AR                                  2009        16,903       15,688      1,215      7.2
CN0501100000000   05     011   Bradley County, AR                                2009         5,453        4,944        509      9.3
CN0501300000000   05     013   Calhoun County, AR                                2009         2,569        2,361        208      8.1
CN0501500000000   05     015   Carroll County, AR                                2009        13,954       13,141        813      5.8
CN0501700000000   05     017   Chicot County, AR                                 2009         4,842        4,325        517     10.7
CN0501900000000   05     019   Clark County, AR                                  2009        10,725        9,895        830      7.7
CN0502100000000   05     021   Clay County, AR                                   2009         6,625        5,905        720     10.9
CN0502300000000   05     023   Cleburne County, AR                               2009        11,735       10,894        841      7.2
CN0502500000000   05     025   Cleveland County, AR                              2009         4,021        3,709        312      7.8
CN0502700000000   05     027   Columbia County, AR                               2009        10,553        9,569        984      9.3
CN0502900000000   05     029   Conway County, AR                                 2009        10,213        9,476        737      7.2
CN0503100000000   05     031   Craighead County, AR                              2009        46,546       43,417      3,129      6.7
CN0503300000000   05     033   Crawford County, AR                               2009        27,800       25,719      2,081      7.5
CN0503500000000   05     035   Crittenden County, AR                             2009        21,911       19,623      2,288     10.4
CN0503700000000   05     037   Cross County, AR                                  2009         8,492        7,813        679      8.0
CN0503900000000   05     039   Dallas County, AR                                 2009         3,914        3,533        381      9.7
CN0504100000000   05     041   Desha County, AR                                  2009         5,556        4,953        603     10.9
CN0504300000000   05     043   Drew County, AR                                   2009         8,170        7,307        863     10.6
CN0504500000000   05     045   Faulkner County, AR                               2009        56,136       52,406      3,730      6.6
CN0504700000000   05     047   Franklin County, AR                               2009         8,143        7,578        565      6.9
CN0504900000000   05     049   Fulton County, AR                                 2009         5,228        4,854        374      7.2
CN0505100000000   05     051   Garland County, AR                                2009        42,351       39,263      3,088      7.3
CN0505300000000   05     053   Grant County, AR                                  2009         8,478        7,901        577      6.8
CN0505500000000   05     055   Greene County, AR                                 2009        18,652       16,856      1,796      9.6
CN0505700000000   05     057   Hempstead County, AR                              2009        10,645        9,804        841      7.9
CN0505900000000   05     059   Hot Spring County, AR                             2009        15,253       13,996      1,257      8.2
CN0506100000000   05     061   Howard County, AR                                 2009         6,194        5,718        476      7.7
CN0506300000000   05     063   Independence County, AR                           2009        16,782       15,371      1,411      8.4
CN0506500000000   05     065   Izard County, AR                                  2009         5,318        4,851        467      8.8
CN0506700000000   05     067   Jackson County, AR                                2009         7,593        6,797        796     10.5
CN0506900000000   05     069   Jefferson County, AR                              2009        35,412       32,080      3,332      9.4
CN0507100000000   05     071   Johnson County, AR                                2009        11,507       10,716        791      6.9
CN0507300000000   05     073   Lafayette County, AR                              2009         2,973        2,702        271      9.1
CN0507500000000   05     075   Lawrence County, AR                               2009         7,279        6,638        641      8.8
CN0507700000000   05     077   Lee County, AR                                    2009         3,515        3,205        310      8.8
CN0507900000000   05     079   Lincoln County, AR                                2009         4,958        4,488        470      9.5
CN0508100000000   05     081   Little River County, AR                           2009         6,744        6,356        388      5.8
CN0508300000000   05     083   Logan County, AR                                  2009        10,062        9,172        890      8.8
CN0508500000000   05     085   Lonoke County, AR                                 2009        32,202       30,275      1,927      6.0
CN0508700000000   05     087   Madison County, AR                                2009         7,362        6,886        476      6.5
CN0508900000000   05     089   Marion County, AR                                 2009         6,663        5,908        755     11.3
CN0509100000000   05     091   Miller County, AR                                 2009        19,868       18,796      1,072      5.4
CN0509300000000   05     093   Mississippi County, AR                            2009        21,363       18,504      2,859     13.4
CN0509500000000   05     095   Monroe County, AR                                 2009         3,698        3,410        288      7.8
CN0509700000000   05     097   Montgomery County, AR                             2009         4,148        3,868        280      6.8
CN0509900000000   05     099   Nevada County, AR                                 2009         4,225        3,849        376      8.9
CN0510100000000   05     101   Newton County, AR                                 2009         3,441        3,179        262      7.6
CN0510300000000   05     103   Ouachita County, AR                               2009        12,072       11,145        927      7.7
CN0510500000000   05     105   Perry County, AR                                  2009         4,700        4,346        354      7.5
CN0510700000000   05     107   Phillips County, AR                               2009         8,789        7,989        800      9.1
CN0510900000000   05     109   Pike County, AR                                   2009         5,026        4,657        369      7.3
CN0511100000000   05     111   Poinsett County, AR                               2009        10,483        9,593        890      8.5
CN0511300000000   05     113   Polk County, AR                                   2009         8,753        8,113        640      7.3
CN0511500000000   05     115   Pope County, AR                                   2009        29,426       27,303      2,123      7.2
CN0511700000000   05     117   Prairie County, AR                                2009         4,272        3,950        322      7.5
CN0511900000000   05     119   Pulaski County, AR                                2009       189,067      177,014     12,053      6.4
CN0512100000000   05     121   Randolph County, AR                               2009         7,620        6,946        674      8.8
CN0512300000000   05     123   St. Francis County, AR                            2009        10,323        9,294      1,029     10.0
CN0512500000000   05     125   Saline County, AR                                 2009        49,365       46,251      3,114      6.3
CN0512700000000   05     127   Scott County, AR                                  2009         4,890        4,570        320      6.5
CN0512900000000   05     129   Searcy County, AR                                 2009         3,551        3,289        262      7.4
CN0513100000000   05     131   Sebastian County, AR                              2009        60,275       55,866      4,409      7.3
CN0513300000000   05     133   Sevier County, AR                                 2009         7,537        7,115        422      5.6
CN0513500000000   05     135   Sharp County, AR                                  2009         6,212        5,665        547      8.8
CN0513700000000   05     137   Stone County, AR                                  2009         4,572        4,185        387      8.5
CN0513900000000   05     139   Union County, AR                                  2009        19,054       17,167      1,887      9.9
CN0514100000000   05     141   Van Buren County, AR                              2009         6,985        6,285        700     10.0
CN0514300000000   05     143   Washington County, AR                             2009        99,045       93,092      5,953      6.0
CN0514500000000   05     145   White County, AR                                  2009        33,878       31,222      2,656      7.8
CN0514700000000   05     147   Woodruff County, AR                               2009         3,345        2,992        353     10.6
CN0514900000000   05     149   Yell County, AR                                   2009        10,588        9,755        833      7.9
CN0600100000000   06     001   Alameda County, CA                                2009       761,339      681,510     79,829     10.5
CN0600300000000   06     003   Alpine County, CA                                 2009           447          382         65     14.5
CN0600500000000   06     005   Amador County, CA                                 2009        17,831       15,750      2,081     11.7
CN0600700000000   06     007   Butte County, CA                                  2009       103,846       90,821     13,025     12.5
CN0600900000000   06     009   Calaveras County, CA                              2009        20,354       17,528      2,826     13.9
CN0601100000000   06     011   Colusa County, CA                                 2009        11,539        9,471      2,068     17.9
CN0601300000000   06     013   Contra Costa County, CA                           2009       525,066      471,649     53,417     10.2
CN0601500000000   06     015   Del Norte County, CA                              2009        11,690       10,283      1,407     12.0
CN0601700000000   06     017   El Dorado County, CA                              2009        91,735       81,555     10,180     11.1
CN0601900000000   06     019   Fresno County, CA                                 2009       434,724      369,589     65,135     15.0
CN0602100000000   06     021   Glenn County, CA                                  2009        12,597       10,779      1,818     14.4
CN0602300000000   06     023   Humboldt County, CA                               2009        60,873       54,226      6,647     10.9
CN0602500000000   06     025   Imperial County, CA                               2009        75,941       54,781     21,160     27.9
CN0602700000000   06     027   Inyo County, CA                                   2009         9,391        8,531        860      9.2
CN0602900000000   06     029   Kern County, CA                                   2009       363,243      311,091     52,152     14.4
CN0603100000000   06     031   Kings County, CA                                  2009        60,576       51,773      8,803     14.5
CN0603300000000   06     033   Lake County, CA                                   2009        25,415       21,523      3,892     15.3
CN0603500000000   06     035   Lassen County, CA                                 2009        13,578       11,870      1,708     12.6
CN0603700000000   06     037   Los Angeles County, CA                            2009     4,905,308    4,336,969    568,339     11.6
CN0603900000000   06     039   Madera County, CA                                 2009        66,557       57,483      9,074     13.6
CN0604100000000   06     041   Marin County, CA                                  2009       131,968      121,821     10,147      7.7
CN0604300000000   06     043   Mariposa County, CA                               2009         9,401        8,414        987     10.5
CN0604500000000   06     045   Mendocino County, CA                              2009        43,325       38,878      4,447     10.3
CN0604700000000   06     047   Merced County, CA                                 2009       105,581       87,688     17,893     16.9
CN0604900000000   06     049   Modoc County, CA                                  2009         4,048        3,548        500     12.4
CN0605100000000   06     051   Mono County, CA                                   2009         8,739        7,954        785      9.0
CN0605300000000   06     053   Monterey County, CA                               2009       215,501      190,203     25,298     11.7
CN0605500000000   06     055   Napa County, CA                                   2009        75,565       69,103      6,462      8.6
CN0605700000000   06     057   Nevada County, CA                                 2009        50,407       45,116      5,291     10.5
CN0605900000000   06     059   Orange County, CA                                 2009     1,589,575    1,448,838    140,737      8.9
CN0606100000000   06     061   Placer County, CA                                 2009       179,818      161,099     18,719     10.4
CN0606300000000   06     063   Plumas County, CA                                 2009        10,032        8,458      1,574     15.7
CN0606500000000   06     065   Riverside County, CA                              2009       916,971      794,251    122,720     13.4
CN0606700000000   06     067   Sacramento County, CA                             2009       681,614      604,879     76,735     11.3
CN0606900000000   06     069   San Benito County, CA                             2009        24,898       21,350      3,548     14.3
CN0607100000000   06     071   San Bernardino County, CA                         2009       858,710      747,672    111,038     12.9
CN0607300000000   06     073   San Diego County, CA                              2009     1,554,908    1,405,580    149,328      9.6
CN0607500000000   06     075   San Francisco County/city, CA                     2009       459,522      418,721     40,801      8.9
CN0607700000000   06     077   San Joaquin County, CA                            2009       298,301      252,808     45,493     15.3
CN0607900000000   06     079   San Luis Obispo County, CA                        2009       136,407      124,127     12,280      9.0
CN0608100000000   06     081   San Mateo County, CA                              2009       374,231      342,819     31,412      8.4
CN0608300000000   06     083   Santa Barbara County, CA                          2009       219,999      201,473     18,526      8.4
CN0608500000000   06     085   Santa Clara County, CA                            2009       875,574      780,847     94,727     10.8
CN0608700000000   06     087   Santa Cruz County, CA                             2009       147,760      131,042     16,718     11.3
CN0608900000000   06     089   Shasta County, CA                                 2009        84,086       71,777     12,309     14.6
CN0609100000000   06     091   Sierra County, CA                                 2009         1,597        1,354        243     15.2
CN0609300000000   06     093   Siskiyou County, CA                               2009        19,657       16,801      2,856     14.5
CN0609500000000   06     095   Solano County, CA                                 2009       214,649      191,847     22,802     10.6
CN0609700000000   06     097   Sonoma County, CA                                 2009       256,615      231,941     24,674      9.6
CN0609900000000   06     099   Stanislaus County, CA                             2009       234,882      197,711     37,171     15.8
CN0610100000000   06     101   Sutter County, CA                                 2009        41,964       34,922      7,042     16.8
CN0610300000000   06     103   Tehama County, CA                                 2009        25,378       21,843      3,535     13.9
CN0610500000000   06     105   Trinity County, CA                                2009         4,995        4,140        855     17.1
CN0610700000000   06     107   Tulare County, CA                                 2009       203,491      172,653     30,838     15.2
CN0610900000000   06     109   Tuolumne County, CA                               2009        25,750       22,550      3,200     12.4
CN0611100000000   06     111   Ventura County, CA                                2009       430,477      388,058     42,419      9.9
CN0611300000000   06     113   Yolo County, CA                                   2009        98,810       87,689     11,121     11.3
CN0611500000000   06     115   Yuba County, CA                                   2009        28,408       23,527      4,881     17.2
CN0800100000000   08     001   Adams County, CO                                  2009       229,466      207,903     21,563      9.4
CN0800300000000   08     003   Alamosa County, CO                                2009         8,959        8,329        630      7.0
CN0800500000000   08     005   Arapahoe County, CO                               2009       313,603      288,309     25,294      8.1
CN0800700000000   08     007   Archuleta County, CO                              2009         6,358        5,831        527      8.3
CN0800900000000   08     009   Baca County, CO                                   2009         2,590        2,485        105      4.1
CN0801100000000   08     011   Bent County, CO                                   2009         2,687        2,493        194      7.2
CN0801300000000   08     013   Boulder County, CO                                2009       175,906      163,900     12,006      6.8
CN0801400000000   08     014   Broomfield County/city, CO                        2009        30,940       28,571      2,369      7.7
CN0801500000000   08     015   Chaffee County, CO                                2009         8,596        7,995        601      7.0
CN0801700000000   08     017   Cheyenne County, CO                               2009         1,369        1,330         39      2.8
CN0801900000000   08     019   Clear Creek County, CO                            2009         5,446        5,010        436      8.0
CN0802100000000   08     021   Conejos County, CO                                2009         3,752        3,443        309      8.2
CN0802300000000   08     023   Costilla County, CO                               2009         1,386        1,247        139     10.0
CN0802500000000   08     025   Crowley County, CO                                2009         1,998        1,807        191      9.6
CN0802700000000   08     027   Custer County, CO                                 2009         2,043        1,901        142      7.0
CN0802900000000   08     029   Delta County, CO                                  2009        17,029       15,677      1,352      7.9
CN0803100000000   08     031   Denver County/city, CO                            2009       325,811      296,474     29,337      9.0
CN0803300000000   08     033   Dolores County, CO                                2009         1,055          902        153     14.5
CN0803500000000   08     035   Douglas County, CO                                2009       161,709      150,602     11,107      6.9
CN0803700000000   08     037   Eagle County, CO                                  2009        30,624       28,235      2,389      7.8
CN0803900000000   08     039   Elbert County, CO                                 2009        12,977       11,966      1,011      7.8
CN0804100000000   08     041   El Paso County, CO                                2009       301,515      275,131     26,384      8.8
CN0804300000000   08     043   Fremont County, CO                                2009        20,082       18,183      1,899      9.5
CN0804500000000   08     045   Garfield County, CO                               2009        34,799       32,106      2,693      7.7
CN0804700000000   08     047   Gilpin County, CO                                 2009         3,683        3,435        248      6.7
CN0804900000000   08     049   Grand County, CO                                  2009         9,079        8,404        675      7.4
CN0805100000000   08     051   Gunnison County, CO                               2009         9,440        8,868        572      6.1
CN0805300000000   08     053   Hinsdale County, CO                               2009           663          640         23      3.5
CN0805500000000   08     055   Huerfano County, CO                               2009         3,507        3,168        339      9.7
CN0805700000000   08     057   Jackson County, CO                                2009         1,292        1,233         59      4.6
CN0805900000000   08     059   Jefferson County, CO                              2009       304,966      280,784     24,182      7.9
CN0806100000000   08     061   Kiowa County, CO                                  2009         1,001          954         47      4.7
CN0806300000000   08     063   Kit Carson County, CO                             2009         4,857        4,645        212      4.4
CN0806500000000   08     065   Lake County, CO                                   2009         3,924        3,551        373      9.5
CN0806700000000   08     067   La Plata County, CO                               2009        31,357       29,476      1,881      6.0
CN0806900000000   08     069   Larimer County, CO                                2009       177,316      164,950     12,366      7.0
CN0807100000000   08     071   Las Animas County, CO                             2009         8,659        7,876        783      9.0
CN0807300000000   08     073   Lincoln County, CO                                2009         3,108        2,965        143      4.6
CN0807500000000   08     075   Logan County, CO                                  2009        12,040       11,374        666      5.5
CN0807700000000   08     077   Mesa County, CO                                   2009        82,464       74,806      7,658      9.3
CN0807900000000   08     079   Mineral County, CO                                2009           480          445         35      7.3
CN0808100000000   08     081   Moffat County, CO                                 2009         9,097        8,468        629      6.9
CN0808300000000   08     083   Montezuma County, CO                              2009        13,318       12,232      1,086      8.2
CN0808500000000   08     085   Montrose County, CO                               2009        21,197       19,289      1,908      9.0
CN0808700000000   08     087   Morgan County, CO                                 2009        15,103       14,197        906      6.0
CN0808900000000   08     089   Otero County, CO                                  2009         9,336        8,625        711      7.6
CN0809100000000   08     091   Ouray County, CO                                  2009         2,907        2,725        182      6.3
CN0809300000000   08     093   Park County, CO                                   2009         9,366        8,641        725      7.7
CN0809500000000   08     095   Phillips County, CO                               2009         2,605        2,501        104      4.0
CN0809700000000   08     097   Pitkin County, CO                                 2009        11,164       10,417        747      6.7
CN0809900000000   08     099   Prowers County, CO                                2009         7,021        6,566        455      6.5
CN0810100000000   08     101   Pueblo County, CO                                 2009        74,990       68,173      6,817      9.1
CN0810300000000   08     103   Rio Blanco County, CO                             2009         4,663        4,409        254      5.4
CN0810500000000   08     105   Rio Grande County, CO                             2009         6,801        6,341        460      6.8
CN0810700000000   08     107   Routt County, CO                                  2009        15,281       14,173      1,108      7.3
CN0810900000000   08     109   Saguache County, CO                               2009         3,436        3,130        306      8.9
CN0811100000000   08     111   San Juan County, CO                               2009           559          513         46      8.2
CN0811300000000   08     113   San Miguel County, CO                             2009         5,232        4,886        346      6.6
CN0811500000000   08     115   Sedgwick County, CO                               2009         1,718        1,646         72      4.2
CN0811700000000   08     117   Summit County, CO                                 2009        16,680       15,551      1,129      6.8
CN0811900000000   08     119   Teller County, CO                                 2009        12,146       11,127      1,019      8.4
CN0812100000000   08     121   Washington County, CO                             2009         2,983        2,850        133      4.5
CN0812300000000   08     123   Weld County, CO                                   2009       121,524      110,487     11,037      9.1
CN0812500000000   08     125   Yuma County, CO                                   2009         7,104        6,841        263      3.7
CN0900100000000   09     001   Fairfield County, CT                              2009       473,209      436,665     36,544      7.7
CN0900300000000   09     003   Hartford County, CT                               2009       466,131      425,977     40,154      8.6
CN0900500000000   09     005   Litchfield County, CT                             2009       106,027       97,385      8,642      8.2
CN0900700000000   09     007   Middlesex County, CT                              2009        95,378       88,811      6,567      6.9
CN0900900000000   09     009   New Haven County, CT                              2009       452,222      412,210     40,012      8.8
CN0901100000000   09     011   New London County, CT                             2009       151,365      139,705     11,660      7.7
CN0901300000000   09     013   Tolland County, CT                                2009        86,764       80,813      5,951      6.9
CN0901500000000   09     015   Windham County, CT                                2009        65,340       59,411      5,929      9.1
CN1000100000000   10     001   Kent County, DE                                   2009        74,269       68,506      5,763      7.8
CN1000300000000   10     003   New Castle County, DE                             2009       273,027      251,328     21,699      7.9
CN1000500000000   10     005   Sussex County, DE                                 2009        93,027       85,719      7,308      7.9
CN1100100000000   11     001   District of Columbia                              2009       335,091      302,687     32,404      9.7
CN1200100000000   12     001   Alachua County, FL                                2009       129,974      120,866      9,108      7.0
CN1200300000000   12     003   Baker County, FL                                  2009        12,120       10,913      1,207     10.0
CN1200500000000   12     005   Bay County, FL                                    2009        88,866       80,885      7,981      9.0
CN1200700000000   12     007   Bradford County, FL                               2009        12,485       11,494        991      7.9
CN1200900000000   12     009   Brevard County, FL                                2009       266,899      239,551     27,348     10.2
CN1201100000000   12     011   Broward County, FL                                2009       981,346      893,171     88,175      9.0
CN1201300000000   12     013   Calhoun County, FL                                2009         5,921        5,425        496      8.4
CN1201500000000   12     015   Charlotte County, FL                              2009        68,874       60,827      8,047     11.7
CN1201700000000   12     017   Citrus County, FL                                 2009        56,769       50,009      6,760     11.9
CN1201900000000   12     019   Clay County, FL                                   2009        94,853       86,197      8,656      9.1
CN1202100000000   12     021   Collier County, FL                                2009       143,431      127,745     15,686     10.9
CN1202300000000   12     023   Columbia County, FL                               2009        31,623       28,742      2,881      9.1
CN1202700000000   12     027   DeSoto County, FL                                 2009        14,979       13,491      1,488      9.9
CN1202900000000   12     029   Dixie County, FL                                  2009         5,585        4,956        629     11.3
CN1203100000000   12     031   Duval County, FL                                  2009       441,900      396,126     45,774     10.4
CN1203300000000   12     033   Escambia County, FL                               2009       137,122      123,799     13,323      9.7
